,NB,AdaBoost,ANN,RNN
0,"[0.7384278279923309, 0.7353315167765162, 0.7384278279923309]","[0.7115858668857847, 0.6985994340684806, 0.7115858668857847]","[0.77102166, 0.81557375, 0.708573, 0.91423196]","[0.7636264, 0.7998205, 0.7321282, 0.91062415]"
1,"[0.7521227061079157, 0.7599429814383617, 0.7521227061079157]","[0.7102163790742262, 0.7051911419877034, 0.7102163790742262]","[0.7858121, 0.8328576, 0.719255, 0.92068523]","[0.7803342, 0.82702535, 0.72418517, 0.91594946]"
2,"[0.7400712133662011, 0.7470418248410364, 0.7400712133662011]","[0.7017255546425637, 0.7098380278627395, 0.7017255546425637]","[0.7811558, 0.81885624, 0.72555465, 0.9131222]","[0.77019995, 0.8047966, 0.7261024, 0.9093731]"
3,"[0.7387017255546425, 0.7441050103600234, 0.7387017255546425]","[0.7017255546425637, 0.6874411723286418, 0.7017255546425637]","[0.7696521, 0.8120185, 0.7217201, 0.91208905]","[0.7644481, 0.7893966, 0.73815393, 0.9097296]"
4,"[0.7460969597370584, 0.7481468662463902, 0.7460969597370584]","[0.7091207888249794, 0.6873306098724945, 0.7091207888249794]","[0.7707477, 0.8193344, 0.7080252, 0.908966]","[0.7669132, 0.7953668, 0.7334977, 0.9095683]"
5,"[0.7450013694878116, 0.7509886253645809, 0.7450013694878116]","[0.714872637633525, 0.7029987285628658, 0.714872637633525]","[0.77869076, 0.82649845, 0.7176116, 0.9150669]","[0.7625308, 0.8034788, 0.7211723, 0.9084132]"
6,"[0.7452752670501233, 0.7553323179762955, 0.7452752670501233]","[0.7047384278279923, 0.7111007099098511, 0.7047384278279923]","[0.77102166, 0.8252205, 0.69186527, 0.91058934]","[0.7677349, 0.8116719, 0.70473844, 0.9069923]"
7,"[0.7422623938646946, 0.743776703225171, 0.7422623938646946]","[0.7003560668310052, 0.6603201585110728, 0.7003560668310052]","[0.77896464, 0.81750464, 0.72144616, 0.9174607]","[0.77869076, 0.80376583, 0.74828815, 0.91465956]"
8,"[0.7597918378526431, 0.7569817711792372, 0.7597918378526431]","[0.7159682278827718, 0.6926399472330435, 0.7159682278827718]","[0.78909886, 0.82852715, 0.73185426, 0.92149496]","[0.77239114, 0.8190328, 0.7189811, 0.9158008]"
9,"[0.7247329498767461, 0.7287021396339425, 0.7247329498767461]","[0.6962476033963297, 0.6817086686062666, 0.6962476033963297]","[0.77047384, 0.8084841, 0.70994246, 0.9093842]","[0.77156943, 0.80209583, 0.73377156, 0.9085232]"
10,"[0.7521227061079157, 0.7517151938251228, 0.7521227061079157]","[0.7167899205697069, 0.7251749383152543, 0.7167899205697069]","[0.7756779, 0.8108359, 0.7173377, 0.9154554]","[0.76609147, 0.7958038, 0.7376061, 0.9180831]"
11,"[0.7304847986852917, 0.7469656140328698, 0.7304847986852917]","[0.705012325390304, 0.7047418560566397, 0.705012325390304]","[0.7603396, 0.8329861, 0.65708023, 0.9044925]","[0.77239114, 0.8058983, 0.7334977, 0.910817]"
12,"[0.7466447548616817, 0.7451558591204829, 0.7466447548616817]","[0.7126814571350315, 0.6876935064654127, 0.7126814571350315]","[0.77978635, 0.8191985, 0.72226787, 0.91634864]","[0.77239114, 0.7984061, 0.7408929, 0.91540235]"
13,"[0.7482881402355519, 0.7578833218650347, 0.7482881402355519]","[0.7156943303204601, 0.7295397707062748, 0.7156943303204601]","[0.77129555, 0.8133926, 0.7019994, 0.9092636]","[0.77019995, 0.8091324, 0.7280197, 0.91242385]"
14,"[0.7280197206244864, 0.7339797138260792, 0.7280197206244864]","[0.6946042180224596, 0.6833724823258219, 0.6946042180224596]","[0.778143, 0.81769854, 0.71624213, 0.9127278]","[0.7611613, 0.8084841, 0.70994246, 0.90798503]"
15,"[0.7521227061079157, 0.7579871617047502, 0.7521227061079157]","[0.7165160230073953, 0.7060518935343564, 0.7165160230073953]","[0.7778691, 0.82630587, 0.719255, 0.9173203]","[0.75595725, 0.8351342, 0.6562586, 0.903736]"
